med_code_id,term,observations,snomed_ct_concept_id
43227,Unknown,10,
64571,Unknown,7,
54212,Unknown,10,
2664,Unknown,7009,
109103,Unknown,46,
18496,Unknown,2610,
24836,Unknown,13,
34268,Unknown,208,
26054,Unknown,6364,
56268,Unknown,2,
67212,Unknown,3,
105784,Unknown,5,
26108,Unknown,152,
47321,Unknown,123,
104588,Unknown,568,
49869,Unknown,1,
50609,Unknown,67,
34450,Unknown,853,
55075,Unknown,23,
63690,Unknown,367,
59365,Unknown,75,
48192,Unknown,15,
36695,Unknown,406,
64668,Unknown,161,
47315,Unknown,120,
63762,Unknown,455,
35397,Unknown,1021,
37957,Unknown,105,
68843,Unknown,10,
50429,Unknown,26,
98978,Unknown,281,
24693,Unknown,12,
51756,Unknown,40,
59253,Unknown,93,
18143,Unknown,1,
45467,Unknown,15,
49074,Unknown,175,
43785,Unknown,14,
4513,Unknown,160632,
100964,Unknown,9,
106528,Unknown,8,
18390,Unknown,11970,
109865,Unknown,3,
109700,Unknown,233,
107508,Unknown,60,
45919,Unknown,17,
13195,Unknown,395337,
103902,Unknown,25,
104639,Unknown,47,
108005,Unknown,57,
72320,Unknown,3,
110344,Unknown,809,
56885,Unknown,1,
52303,Unknown,38,
65267,Unknown,52,
21482,Unknown,272,
28622,Unknown,8652,
44779,Unknown,11,
45913,Unknown,94,
17859,Unknown,52255,
18278,Unknown,5799,
70316,Unknown,40,
18777,Unknown,281,
18209,Unknown,24,
12736,Unknown,77,
43139,Unknown,41,
111798,Unknown,3,
113609,Unknown,1,
47816,Unknown,9,
58604,Unknown,34,
39317,Unknown,583,
91646,Unknown,6,
60699,Unknown,5,
102201,Unknown,72,
35105,Unknown,159,
107331,Unknown,68,
98723,Unknown,48,
72345,Unknown,10,
50225,Unknown,11,
54856,Unknown,119,
44982,Unknown,246,
51939,Unknown,50,
50527,Unknown,45,
506,Unknown,107239,
69278,Unknown,31,
109197,Unknown,6,
101801,Unknown,363242,
32627,Unknown,1296,
53392,Unknown,327,
42762,Unknown,45,
1407,Unknown,19498,
59991,Unknown,44,
49655,Unknown,69,
56803,Unknown,77,
66965,Unknown,9,
57278,Unknown,10,
8403,Unknown,2282,
35385,Unknown,277,
62107,Unknown,10,
62674,Unknown,86,
46917,Unknown,157,
47409,Unknown,5,
104323,Unknown,4,
758,Unknown,1464114,
83532,Unknown,157668,
12640,Unknown,2481,
55842,Unknown,18,
11551,Unknown,2173,
46150,Unknown,12,
60796,Unknown,63,
106061,Unknown,1,
17262,Unknown,155,
11047,Unknown,12713,
95351,Unknown,37,
36633,Unknown,104,
102611,Unknown,400,
24458,Unknown,93,
62146,Unknown,10,
107824,Unknown,459,
18219,Unknown,5938,
65704,Unknown,18,
67905,Unknown,5,
113495,Unknown,1,
94777,Unknown,990,
54773,Unknown,65,
14803,Unknown,23884,
61122,Unknown,58,
54899,Unknown,4,
25627,Unknown,1904,
98616,Unknown,3,
37648,Unknown,46,
18264,Unknown,93,
85991,Unknown,8,
5884,Unknown,13753,
59725,Unknown,6,
110611,Unknown,181,
93727,Unknown,143,
41389,Unknown,191,
37806,Unknown,201,
50813,Unknown,1,
34912,Unknown,237,
107701,Unknown,2,
39406,Unknown,21,
61071,Unknown,8,
40401,Unknown,25,
22884,Unknown,11222,
39481,Unknown,223,
29979,Unknown,330,
18766,Unknown,5216,
32193,Unknown,444,
18425,Unknown,324,
47954,Unknown,1030,
8446,Unknown,44803,
40962,Unknown,15,
25591,Unknown,292,
