med_code_id,term,observations,snomed_ct_concept_id
17328,Unknown,1178,
62470,Unknown,55,
104708,Unknown,2,
88713,Unknown,28,
38967,Unknown,58,
22003,Unknown,147,
67045,Unknown,49,
101322,Unknown,1,
103093,Unknown,5,
2343,Unknown,24192,
6843,Unknown,15,
54243,Unknown,121,
114376,Unknown,1,
89968,Unknown,27,
31085,Unknown,49,
88772,Unknown,15,
68551,Unknown,15,
96661,Unknown,20,
73476,Unknown,186,
111039,Unknown,6,
8274,Unknown,1405,
72742,Unknown,3,
67483,Unknown,4,
22778,Unknown,1320,
95106,Unknown,7,
34958,Unknown,534,
30705,Unknown,23,
95799,Unknown,8,
30014,Unknown,309,
62230,Unknown,54,
28470,Unknown,178,
108021,Unknown,5,
68784,Unknown,27,
103672,Unknown,4,
96130,Unknown,4,
99198,Unknown,9,
1779,Unknown,971,
54772,Unknown,186,
110418,Unknown,1,
106726,Unknown,1,
5058,Unknown,3335,
53959,Unknown,18,
42127,Unknown,50,
111266,Unknown,3,
52607,Unknown,58,
61651,Unknown,17,
73817,Unknown,5,
3140,Unknown,4633,
107710,Unknown,1,
10111,Unknown,307,
63187,Unknown,22,
4964,Unknown,65,
69940,Unknown,33,
37995,Unknown,45,
18784,Unknown,5,
16849,Unknown,44,
42090,Unknown,27,
18785,Unknown,257,
3863,Unknown,380,
33907,Unknown,450,
31759,Unknown,33,
16191,Unknown,614,
73820,Unknown,7,
99786,Unknown,684,
89257,Unknown,2,
90443,Unknown,80,
57091,Unknown,61,
40030,Unknown,156,
43926,Unknown,53,
33262,Unknown,176,
90121,Unknown,29,
72417,Unknown,22,
49379,Unknown,44,
29732,Unknown,417,
6886,Unknown,5800,
562,Unknown,33527,
89969,Unknown,8,
17175,Unknown,520,
94040,Unknown,25,
63069,Unknown,22,
35724,Unknown,32,
51112,Unknown,27,
109008,Unknown,10,
42132,Unknown,420,
70691,Unknown,2,
91339,Unknown,4,
98240,Unknown,11,
39803,Unknown,69,
59907,Unknown,165,
18982,Unknown,23,
85252,Unknown,415,
1778,Unknown,58,
51649,Unknown,4,
71252,Unknown,6,
23692,Unknown,295,
19969,Unknown,77,
99452,Unknown,3,
33919,Unknown,226,
105759,Unknown,3,
39810,Unknown,117,
112420,Unknown,1,
36638,Unknown,381,
93924,Unknown,15,
63046,Unknown,73,
70880,Unknown,10,
84407,Unknown,34,
8636,Unknown,103,
86418,Unknown,38,
29481,Unknown,154,
28662,Unknown,58,
34176,Unknown,49,
111360,Unknown,1,
3300,Unknown,7231,
114010,Unknown,1,
23709,Unknown,689,
67931,Unknown,13,
38384,Unknown,60,
67286,Unknown,1,
88842,Unknown,24,
48331,Unknown,52,
7474,Unknown,3618,
97818,Unknown,7,
43049,Unknown,32,
65401,Unknown,12,
24714,Unknown,58,
70857,Unknown,7,
11293,Unknown,89,
110047,Unknown,6,
107496,Unknown,3,
50649,Unknown,53,
14723,Unknown,1764,
65318,Unknown,4,
72306,Unknown,7,
53804,Unknown,120,
96199,Unknown,39,
72405,Unknown,24,
20940,Unknown,230,
1885,Unknown,13626,
94683,Unknown,13,
44896,Unknown,483,
93989,Unknown,5,
54488,Unknown,40,
92426,Unknown,3,
23988,Unknown,3,
66401,Unknown,17,
71678,Unknown,18,
32509,Unknown,55,
95391,Unknown,10,
112436,Unknown,1,
102977,Unknown,8,
105655,Unknown,7,
99557,Unknown,8,
107653,Unknown,0,
30471,Unknown,61,
31112,Unknown,353,
17111,Unknown,60,
30725,Unknown,451,
105154,Unknown,2,
107122,Unknown,7,
48207,Unknown,267,
61250,Unknown,32,
96637,Unknown,9,
31101,Unknown,41,
71874,Unknown,6,
103039,Unknown,1,
39885,Unknown,10,
94503,Unknown,9,
70561,Unknown,4,
89459,Unknown,65,
37323,Unknown,29,
72295,Unknown,3,
44334,Unknown,17,
92020,Unknown,14,
46117,Unknown,58,
38828,Unknown,5,
9401,Unknown,2191,
16539,Unknown,620,
103939,Unknown,1,
