med_code_id,term,snomed_ct_concept_id,observations
482737014,Malignant neoplasm of cerebral meninges,,
289375012,Malignant neoplasm of cerebral dura mater,,
289378014,Malignant neoplasm of cerebral pia mater,,
289379018,Malignant neoplasm of cerebral meninges NOS,,
482740014,Malignant neoplasm of spinal meninges,,
289383018,Malignant neoplasm of spinal meninges NOS,,
724681000006111,"Malignant neoplasm of meninges, unspecified",,
315301000006115,[M]Piloid astrocytoma,,
292152012,"[X]Malignant neoplasm of meninges, unspecified",,
