med_code_id,term,snomed_ct_concept_id,observations
720631000006115,"Malignant neoplasm, overlapping lesion of brain",,
726641000006111,Malignant neoplasm of cranial nerves,,
289369015,Malignant neoplasm of olfactory bulb,,
155425014,Malignant neoplasm of optic nerve,,
727841000006110,Malignant neoplasm of acoustic nerve,,
289374011,Malignant neoplasm of cranial nerves NOS,,
721751000006111,Malignant neoplasm of spinal cord,,
482741013,Malignant neoplasm of cauda equina,,
306771000006119,Chordoma,,
