med_code_id,term,snomed_ct_concept_id,observations
2344491000000115,Serum non high density lipoprotein cholesterol level,1006191000000106,11222269
516351000000116,Non high density lipoprotein cholesterol level,1030411000000101,2544935
1924001000006115,Estimated serum non-high density lipoprotein cholesterol level,920471000000100,21701
8386311000006116,Serum non HDL (high density lipoprotein) cholesterol level,1006191000000106,1504
8411411000006113,Non HDL cholesterol level,1030411000000101,677
6014411000006114,Non-HDL cholesterol,312260007,65
