med_code_id,term,snomed_ct_concept_id,observations
145421000006116,Serum total protein,1000811000000109,40365075
224751000006117,Plasma total protein,1005651000000101,1391632
150061000006111,Serum/plasma proteins,1026781000000102,20342
259158018,Serum total protein normal,166780008,1548
2474455016,Serum protein profile,1012151000000104,568
259187017,Serum/plasma protein finding,365807009,85
5518801000006117,Serum total protein level,270992008,53
